symbol,Date,Open,High,Low,Close,Adj Close,Volume
nio,8/26/2020,19.01,20.969999,18.559999,20.440001,20.440001,364104600
nio,8/27/2020,19.99,20.469999,18.76,19.879999,19.879999,199850300
nio,8/28/2020,18.870001,19.440001,18.110001,18.5,18.5,154799800
nio,8/31/2020,17.190001,19.83,16.82,19.030001,19.030001,226610900
nio,9/1/2020,19.450001,20.379999,18.75,20.120001,20.120001,137226000
nio,9/2/2020,20.92,21.049999,18.5,19.9,19.9,153460600
nio,9/3/2020,19.09,19.84,18.35,18.700001,18.700001,128358400
nio,9/4/2020,18.540001,19.18,15.61,17.98,17.98,163329800
nio,9/8/2020,17.17,17.860001,16.51,17.030001,17.030001,89624600
nio,9/9/2020,17.9,18.629999,17.700001,18.09,18.09,90988400
nio,9/10/2020,18.49,18.719999,17.49,17.74,17.74,79679800
nio,9/11/2020,18,18.1,17.450001,17.969999,17.969999,55373500
nio,9/14/2020,18.18,18.780001,17.9,18.73,18.73,68234900
nio,9/15/2020,19.1,20.25,18.879999,19.190001,19.190001,111630500
nio,9/16/2020,19.27,19.540001,18.52,19.01,19.01,57671000
nio,9/17/2020,18.26,19.33,18.08,19.299999,19.299999,55186600
nio,9/18/2020,19.719999,19.879999,18.940001,19.41,19.41,54885500
nio,9/21/2020,19.049999,19.27,17.66,18.809999,18.809999,75969500
nio,9/22/2020,18.48,19.450001,18.370001,19.23,19.23,61061100
nio,9/23/2020,19.219999,19.360001,17.799999,17.959999,17.959999,70568100
nio,9/24/2020,17.32,18.389999,16.75,17.85,17.85,71069500
nio,9/25/2020,18.02,18.620001,17.950001,18.32,18.32,44122100
nio,9/28/2020,18.879999,19.16,18.43,18.809999,18.809999,42786200
nio,9/29/2020,18.76,21.120001,18.709999,20.85,20.85,163159200
nio,9/30/2020,21.719999,22.59,20.76,21.219999,21.219999,183530500
nio,10/1/2020,21.68,21.959999,20.83,21.76,21.76,79117100
nio,10/2/2020,20.83,22.200001,20.799999,21.18,21.18,92713600
nio,10/5/2020,21.66,21.92,21.07,21.59,21.59,60860100
